year,month,day,discharge
1993,8,15,1347.7827
1993,8,16,1374.2652
1993,8,17,1409.2221
1993,8,18,1372.1466
1993,8,19,1349.9013
1993,8,20,1332.2463
1993,8,21,1292.346
1993,8,22,1258.8015
1993,8,23,1275.0441
1993,8,24,1278.9282
1993,8,25,1202.3055
1993,8,26,1201.9524
1993,8,27,1257.7422
1993,8,28,1303.6452
1993,8,29,1332.2463
1993,8,30,1370.3811
1993,8,31,1387.3299
1993,9,1,1376.0307
1993,9,2,1376.0307
1993,9,3,1376.0307
1993,9,4,1369.6749
1993,9,5,1348.4889
1993,9,6,1363.3191
1993,9,7,1343.1924
1993,9,8,1325.1843
1993,9,9,1299.408
1993,9,10,1287.4026
1993,9,11,1254.2112
1993,9,12,1240.0872
1993,9,13,1199.8338
1993,9,14,1313.8851
1993,9,15,1558.2303
1993,9,16,1694.1738
1993,9,17,1791.6294
1993,9,18,1842.1227
1993,9,19,1847.7723
1993,9,20,1927.926
1993,9,21,1889.085
1993,9,22,1991.484
1993,9,23,2019.3789
1993,9,24,1962.5298
1993,9,25,1916.9799
1993,9,26,1928.9853
1993,9,27,1913.802
1993,9,28,1995.015
1993,9,29,2096.0016
1993,9,30,2127.4275
1993,10,1,2062.4571
1993,10,2,2007.7266
1993,10,3,2058.573
1993,10,4,2003.4894
1993,10,5,1896.5001
1993,10,6,1861.1901
1993,10,7,1769.031
1993,10,8,1680.0498
1993,10,9,1680.0498
1993,10,10,1682.5215
1993,10,11,1682.5215
1993,10,12,1712.1819
1993,10,13,1737.9582
1993,10,14,1687.1118
1993,10,15,1674.7533
1993,10,16,1670.8692
1993,10,17,2938.1451
1993,10,18,3605.151
1993,10,19,4332.537
1993,10,20,4788.036
1993,10,21,5402.43
1993,10,22,5455.395
1993,10,23,5130.543
1993,10,24,4646.796
1993,10,25,4254.855
1993,10,26,3905.286
1993,10,27,3732.267
1993,10,28,3468.5013
1993,10,29,3439.5471
1993,10,30,3619.275
1993,10,31,3294.0699
1993,11,1,3093.5091
1993,11,2,3021.4767
1993,11,3,2894.7138
1993,11,4,2747.118
1993,11,5,2677.5573
1993,11,6,2629.8888
1993,11,7,2552.913
1993,11,8,2422.266
1993,11,9,2286.3225
1993,11,10,2234.4168
1993,11,11,2152.4976
1993,11,12,2132.3709
1993,11,13,2092.1175
1993,11,14,2083.6431
1993,11,15,2049.7455
1993,11,16,2032.4436
1993,11,17,2058.573
1993,11,18,1910.9772
1993,11,19,1766.2062
1993,11,20,1640.8557
1993,11,21,1537.0443
1993,11,22,1505.2653
1993,11,23,1444.5321
1993,11,24,1381.3272
1993,11,25,1315.2975
1993,11,26,1366.8501
1993,11,27,1412.7531
1993,11,28,1474.8987
1993,11,29,1540.2222
1993,11,30,1587.5376
1993,12,1,1617.9042
1993,12,2,1644.3867
1993,12,3,1631.6751
1993,12,4,1617.9042
1993,12,5,1575.5322
1993,12,6,1573.0605
1993,12,7,1542.3408
1993,12,8,1521.861
1993,12,9,1461.4809
1993,12,10,1479.1359
1993,12,11,1426.8771
1993,12,12,1376.7369
1993,12,13,1341.78
1993,12,14,1273.9848
1993,12,15,1236.2031
1993,12,16,1183.9443
1993,12,17,1162.7583
1993,12,18,1150.3998
1993,12,19,1125.3297
1993,12,20,1091.4321
1993,12,21,1073.424
1993,12,22,1034.9361
1993,12,23,1022.2245
1993,12,24,1088.6073
1993,12,25,1038.8202
1993,12,26,1001.0385
1993,12,27,1155.3432
1993,12,28,912.0573
1993,12,29,883.1031
1993,12,30,1023.2838
1993,12,31,824.1354
1994,1,1,965.3754
1994,1,2,771.1704
1994,1,3,991.8579
1994,1,4,715.3806
1994,1,5,936.0681
1994,1,6,682.8954
1994,1,7,917.0007
1994,1,8,933.9495
1994,1,9,877.1004
1994,1,10,560.7228
1994,1,11,789.8847
1994,1,12,832.6098
1994,1,13,796.9467
1994,1,14,760.2243
1994,1,15,733.0356
1994,1,16,709.3779
1994,1,17,691.3698
1994,1,18,685.014
1994,1,19,671.5962
1994,1,20,657.4722
1994,1,21,650.0571
1994,1,22,637.6986
1994,1,23,635.9331
1994,1,24,640.8765
1994,1,25,656.766
1994,1,26,659.9439
1994,1,27,657.4722
1994,1,28,670.89
1994,1,29,823.0761
1994,1,30,872.5101
1994,1,31,956.5479
1994,2,1,997.8606
1994,2,2,1023.6369
1994,2,3,1043.7636
1994,2,4,1221.3729
1994,2,5,1016.928
1994,2,6,1174.4106
1994,2,7,938.1867
1994,2,8,1154.637
1994,2,9,885.5748
1994,2,10,1100.2596
1994,2,11,806.4804
1994,2,12,1009.1598
1994,2,13,997.8606
1994,2,14,951.2514
1994,2,15,884.8686
1994,2,16,826.9602
1994,2,17,920.8848
1994,2,18,2671.9077
1994,2,19,7365.666
1994,2,20,14508.879
1994,2,21,14325.267
1994,2,22,13679.094
1994,2,23,12556.236
1994,2,24,11708.796
