year,month,day,discharge
1993,1,1,6684.183
1993,1,2,6267.525
1993,1,3,6073.32
1993,1,4,10691.868
1993,1,5,12227.853
1993,1,6,11507.529
1993,1,7,10571.814
1993,1,8,9463.08
1993,1,9,8301.381
1993,1,10,7453.941
1993,1,11,6613.563
1993,1,12,5910.894
1993,1,13,5370.651
1993,1,14,4897.497
1993,1,15,4491.432
1993,1,16,4173.642
1993,1,17,4060.65
1993,1,18,3799.356
1993,1,19,3873.507
1993,1,20,3505.9299
1993,1,21,3271.1184
1993,1,22,3240.7518
1993,1,23,3511.2264
1993,1,24,3700.488
1993,1,25,3795.825
1993,1,26,3859.383
1993,1,27,4201.89
1993,1,28,5289.438
1993,1,29,5187.039
1993,1,30,4841.001
1993,1,31,6493.509
1993,2,1,6797.175
1993,2,2,6143.94
1993,2,3,6211.029
1993,2,4,6083.913
1993,2,5,7242.081
1993,2,6,7005.504
1993,2,7,6313.428
1993,2,8,5494.236
1993,2,9,4911.621
1993,2,10,4498.494
1993,2,11,4071.243
1993,2,12,3947.658
1993,2,13,3725.205
1993,2,14,3506.6361
1993,2,15,3460.7331
1993,2,16,3229.8057
1993,2,17,2945.2071
1993,2,18,2706.8646
1993,2,19,2600.5815
1993,2,20,2476.9965
1993,2,21,2302.9182
1993,2,22,2166.2685
1993,2,23,2153.2038
1993,2,24,2067.0474
1993,2,25,2008.4328
1993,2,26,1902.1497
1993,2,27,1844.9475
1993,2,28,1813.1685
1993,3,1,1914.5082
1993,3,2,2487.9426
1993,3,3,4731.54
1993,3,4,5589.573
1993,3,5,5939.142
1993,3,6,6302.835
1993,3,7,6387.579
1993,3,8,6528.819
1993,3,9,6662.997
1993,3,10,6793.644
1993,3,11,6571.191
1993,3,12,6069.789
1993,3,13,5734.344
1993,3,14,5091.702
1993,3,15,4773.912
1993,3,16,4625.61
1993,3,17,4516.149
1993,3,18,4088.898
1993,3,19,3937.065
1993,3,20,3884.1
1993,3,21,3894.693
1993,3,22,4110.084
1993,3,23,4939.869
1993,3,24,4844.532
1993,3,25,5077.578
1993,3,26,5790.84
1993,3,27,7062
1993,3,28,10857.825
1993,3,29,14819.607
1993,3,30,16150.794
1993,3,31,15395.16
1993,4,1,15967.182
1993,4,2,15306.885
1993,4,3,14427.666
1993,4,4,14321.736
1993,4,5,12757.503
1993,4,6,11733.513
1993,4,7,10674.213
1993,4,8,9667.878
1993,4,9,8816.907
1993,4,10,8071.866
1993,4,11,7450.41
1993,4,12,7203.24
1993,4,13,6539.412
1993,4,14,6115.692
1993,4,15,5730.813
1993,4,16,5935.611
1993,4,17,5910.894
1993,4,18,5769.654
1993,4,19,6574.722
1993,4,20,15441.063
1993,4,21,16405.026
1993,4,22,18082.251
1993,4,23,17181.846
1993,4,24,16535.673
1993,4,25,16673.382
1993,4,26,15649.392
1993,4,27,14205.213
1993,4,28,12831.654
1993,4,29,12337.314
1993,4,30,12658.635
1993,5,1,11888.877
1993,5,2,11355.696
1993,5,3,11037.906
1993,5,4,10335.237
1993,5,5,12213.729
1993,5,6,12132.516
1993,5,7,11828.85
1993,5,8,10716.585
1993,5,9,9802.056
1993,5,10,8742.756
1993,5,11,8057.742
1993,5,12,7160.868
1993,5,13,6691.245
1993,5,14,6087.444
1993,5,15,5642.538
1993,5,16,5091.702
1993,5,17,4685.637
1993,5,18,4389.033
1993,5,19,4138.332
1993,5,20,3922.941
1993,5,21,3626.337
1993,5,22,3491.8059
1993,5,23,3643.992
1993,5,24,3510.1671
1993,5,25,3297.954
1993,5,26,3074.0886
1993,5,27,3026.7732
1993,5,28,2888.358
1993,5,29,2649.3093
1993,5,30,2495.7108
1993,5,31,3210.7383
1993,6,1,3031.7166
1993,6,2,3093.8622
1993,6,3,3416.5956
1993,6,4,3240.7518
1993,6,5,3207.2073
1993,6,6,3046.1937
1993,6,7,2970.2772
1993,6,8,3378.4608
1993,6,9,3643.992
1993,6,10,3901.755
1993,6,11,3997.092
1993,6,12,4152.456
1993,6,13,4053.588
1993,6,14,3990.03
1993,6,15,3993.561
1993,6,16,4159.518
1993,6,17,4050.057
1993,6,18,4155.987
1993,6,19,5208.225
1993,6,20,8043.618
1993,6,21,9939.765
1993,6,22,9851.49
1993,6,23,9395.991
1993,6,24,8590.923
1993,6,25,9021.705
1993,6,26,8375.532
1993,6,27,7485.72
1993,6,28,6768.927
1993,6,29,5956.797
1993,6,30,5437.74
1993,7,1,4929.276
1993,7,2,4660.92
1993,7,3,4163.049
1993,7,4,3817.011
1993,7,5,3636.93
1993,7,6,3689.895
1993,7,7,3456.849
1993,7,8,3239.6925
1993,7,9,3076.5603
1993,7,10,2847.0453
1993,7,11,2611.8807
1993,7,12,2470.9938
1993,7,13,2377.0692
1993,7,14,2290.9128
1993,7,15,2280.3198
1993,7,16,2092.4706
1993,7,17,2028.2064
1993,7,18,2078.6997
1993,7,19,2053.2765
1993,7,20,2073.4032
1993,7,21,1931.1039
1993,7,22,1845.3006
1993,7,23,1722.7749
1993,7,24,1634.853
1993,7,25,1644.7398
1993,7,26,1603.074
1993,7,27,1561.7613
1993,7,28,1589.3031
1993,7,29,1594.9527
1993,7,30,1566.7047
1993,7,31,1563.8799
1993,8,1,1555.0524
1993,8,2,1576.5915
1993,8,3,1559.2896
1993,8,4,1513.7397
1993,8,5,1455.4782
1993,8,6,1478.4297
1993,8,7,1481.2545
1993,8,8,1447.0038
1993,8,9,1472.427
1993,8,10,1440.2949
1993,8,11,1389.0954
1993,8,12,1359.7881
1993,8,13,1328.3622
1993,8,14,1317.063
1993,8,15,1349.5482
1993,8,16,1376.3838
1993,8,17,1410.9876
1993,8,18,1374.2652
1993,8,19,1352.373
1993,8,20,1334.718
1993,8,21,1294.8177
1993,8,22,1260.9201
1993,8,23,1277.1627
1993,8,24,1281.0468
1993,8,25,1204.4241
1993,8,26,1204.071
1993,8,27,1259.5077
1993,8,28,1305.7638
1993,8,29,1334.0118
1993,8,30,1372.1466
1993,8,31,1388.7423
1993,9,1,1377.09
1993,9,2,1377.4431
1993,9,3,1377.4431
1993,9,4,1371.0873
1993,9,5,1349.5482
1993,9,6,1364.3784
1993,9,7,1344.2517
1993,9,8,1326.2436
1993,9,9,1300.1142
1993,9,10,1288.4619
1993,9,11,1254.9174
1993,9,12,1240.7934
1993,9,13,1200.1869
1993,9,14,1315.2975
1993,9,15,1559.9958
1993,9,16,1695.9393
1993,9,17,1793.748
1993,9,18,1844.2413
1993,9,19,1849.8909
1993,9,20,1930.3977
1993,9,21,1891.2036
1993,9,22,1993.6026
1993,9,23,2021.4975
1993,9,24,1964.2953
1993,9,25,1918.7454
1993,9,26,1930.7508
1993,9,27,1915.2144
1993,9,28,1996.4274
1993,9,29,2097.0609
1993,9,30,2128.4868
1993,10,1,2063.5164
1993,10,2,2008.4328
1993,10,3,2059.2792
1993,10,4,2004.1956
1993,10,5,1897.2063
1993,10,6,1861.8963
1993,10,7,1769.7372
1993,10,8,1680.4029
1993,10,9,1680.756
1993,10,10,1683.2277
1993,10,11,1682.8746
1993,10,12,1712.535
1993,10,13,1738.6644
1993,10,14,1687.4649
1993,10,15,1675.1064
1993,10,16,1671.5754
1993,10,17,2945.5602
1993,10,18,3619.275
1993,10,19,4350.192
1993,10,20,4805.691
1993,10,21,5423.616
1993,10,22,5473.05
1993,10,23,5151.729
1993,10,24,4664.451
1993,10,25,4272.51
1993,10,26,3926.472
1993,10,27,3749.922
1993,10,28,3480.5067
1993,10,29,3449.0808
1993,10,30,3626.337
1993,10,31,3301.485
1993,11,1,3099.8649
1993,11,2,3027.1263
1993,11,3,2900.0103
1993,11,4,2751.3552
1993,11,5,2681.4414
1993,11,6,2633.0667
1993,11,7,2555.7378
1993,11,8,2425.0908
1993,11,9,2289.1473
1993,11,10,2236.8885
1993,11,11,2154.6162
1993,11,12,2134.4895
1993,11,13,2093.883
1993,11,14,2085.4086
1993,11,15,2051.1579
1993,11,16,2033.856
1993,11,17,2059.9854
1993,11,18,1912.3896
1993,11,19,1767.6186
1993,11,20,1641.915
1993,11,21,1538.1036
1993,11,22,1506.3246
1993,11,23,1445.5914
1993,11,24,1382.3865
1993,11,25,1316.0037
1993,11,26,1368.2625
1993,11,27,1414.5186
1993,11,28,1477.0173
1993,11,29,1542.6939
1993,11,30,1590.3624
1993,12,1,1620.729
1993,12,2,1647.2115
1993,12,3,1634.1468
1993,12,4,1620.3759
1993,12,5,1578.0039
1993,12,6,1575.1791
1993,12,7,1544.4594
1993,12,8,1523.9796
1993,12,9,1463.2464
1993,12,10,1480.9014
1993,12,11,1428.6426
1993,12,12,1378.1493
1993,12,13,1343.1924
1993,12,14,1275.3972
1993,12,15,1237.2624
1993,12,16,1185.0036
1993,12,17,1163.8176
1993,12,18,1151.4591
1993,12,19,1126.389
1993,12,20,1092.1383
1993,12,21,1074.1302
1993,12,22,1035.6423
1993,12,23,1022.9307
1993,12,24,1089.3135
1993,12,25,1039.5264
1993,12,26,1001.7447
1993,12,27,1155.6963
1993,12,28,912.4104
1993,12,29,883.4562
1993,12,30,1023.6369
1993,12,31,824.4885
1994,1,1,965.7285
1994,1,2,771.5235
1994,1,3,992.211
1994,1,4,715.7337
1994,1,5,936.4212
1994,1,6,683.6016
1994,1,7,917.3538
1994,1,8,934.3026
1994,1,9,877.4535
1994,1,10,561.0759
1994,1,11,790.2378
1994,1,12,832.6098
1994,1,13,796.9467
1994,1,14,760.2243
1994,1,15,733.0356
1994,1,16,709.731
1994,1,17,691.7229
1994,1,18,685.3671
1994,1,19,671.5962
1994,1,20,657.4722
1994,1,21,650.4102
1994,1,22,637.6986
1994,1,23,635.9331
1994,1,24,640.8765
1994,1,25,657.1191
1994,1,26,659.9439
1994,1,27,657.8253
1994,1,28,671.2431
1994,1,29,823.0761
1994,1,30,872.5101
1994,1,31,956.901
1994,2,1,997.8606
1994,2,2,1023.99
1994,2,3,1043.7636
1994,2,4,1221.726
1994,2,5,1016.928
1994,2,6,1174.4106
1994,2,7,938.1867
1994,2,8,1154.637
1994,2,9,885.9279
1994,2,10,1100.2596
1994,2,11,806.8335
1994,2,12,1009.5129
1994,2,13,997.8606
1994,2,14,951.6045
1994,2,15,885.2217
1994,2,16,826.9602
1994,2,17,924.0627
1994,2,18,2686.7379
1994,2,19,7422.162
1994,2,20,14501.817
1994,2,21,14335.86
1994,2,22,13700.28
1994,2,23,12584.484
1994,2,24,11786.478
1994,2,25,10487.07
1994,2,26,8982.864
1994,2,27,7694.049
1994,2,28,6899.574
1994,3,1,6055.665
1994,3,2,5487.174
1994,3,3,5345.934
1994,3,4,6182.781
1994,3,5,5928.549
1994,3,6,6348.738
1994,3,7,5769.654
1994,3,8,5384.775
1994,3,9,4950.462
1994,3,10,4487.901
1994,3,11,4216.014
1994,3,12,4042.995
1994,3,13,3993.561
1994,3,14,3795.825
1994,3,15,3580.434
1994,3,16,3679.302
1994,3,17,3318.7869
1994,3,18,3452.2587
1994,3,19,3211.0914
1994,3,20,2964.2745
1994,3,21,4512.618
1994,3,22,5201.163
1994,3,23,6094.506
1994,3,24,6966.663
1994,3,25,6941.946
1994,3,26,7037.283
1994,3,27,7058.469
1994,3,28,6853.671
1994,3,29,6648.873
1994,3,30,6366.393
1994,3,31,5896.77
1994,4,1,5529.546
1994,4,2,5342.403
1994,4,3,4982.241
1994,4,4,4738.602
1994,4,5,4498.494
1994,4,6,4261.917
1994,4,7,3982.968
1994,4,8,3986.499
1994,4,9,4025.34
1994,4,10,3894.693
1994,4,11,3753.453
1994,4,12,3629.868
1994,4,13,4706.823
1994,4,14,5144.667
1994,4,15,5480.112
1994,4,16,5490.705
1994,4,17,5201.163
1994,4,18,4830.408
1994,4,19,4544.397
1994,4,20,4170.111
1994,4,21,3841.728
1994,4,22,3746.391
1994,4,23,3459.6738
1994,4,24,3622.806
1994,4,25,3774.639
1994,4,26,9092.325
1994,4,27,11737.044
1994,4,28,13181.223
1994,4,29,16062.519
1994,4,30,16235.538
1994,5,1,16931.145
1994,5,2,15755.322
1994,5,3,14632.464
1994,5,4,12912.867
1994,5,5,11973.621
1994,5,6,10861.356
1994,5,7,9971.544
1994,5,8,9134.697
1994,5,9,8379.063
1994,5,10,7524.561
1994,5,11,7280.922
1994,5,12,7054.938
1994,5,13,6391.11
1994,5,14,5836.743
1994,5,15,5543.67
1994,5,16,5077.578
1994,5,17,4724.478
1994,5,18,4389.033
1994,5,19,4004.154
1994,5,20,3831.135
1994,5,21,3661.647
1994,5,22,3470.973
1994,5,23,3562.779
1994,5,24,3233.3367
1994,5,25,2973.8082
1994,5,26,3251.3448
1994,5,27,3165.5415
1994,5,28,3031.0104
1994,5,29,2927.5521
1994,5,30,2724.1665
1994,5,31,2562.7998
1994,6,1,2383.0719
1994,6,2,2242.5381
1994,6,3,2122.8372
