year,month,day,discharge
1993,1,1,6567.66
1993,1,2,6122.754
1993,1,3,5882.646
1993,1,4,10564.752
1993,1,5,12312.597
1993,1,6,11094.402
1993,1,7,10172.811
1993,1,8,9074.67
1993,1,9,7920.033
1993,1,10,6885.45
1993,1,11,6129.816
1993,1,12,5515.422
1993,1,13,5006.958
1993,1,14,4586.769
1993,1,15,4233.669
1993,1,16,3915.879
1993,1,17,3841.728
1993,1,18,3434.9568
1993,1,19,3587.496
1993,1,20,3240.0456
1993,1,21,3058.5522
1993,1,22,3045.8406
1993,1,23,3338.9136
1993,1,24,3538.062
1993,1,25,3799.356
1993,1,26,3640.461
1993,1,27,4163.049
1993,1,28,5204.694
1993,1,29,5077.578
1993,1,30,4703.292
1993,1,31,6334.614
1993,2,1,6641.811
1993,2,2,5974.452
1993,2,3,6034.479
1993,2,4,5910.894
1993,2,5,7273.86
1993,2,6,6772.458
1993,2,7,6115.692
1993,2,8,5307.093
1993,2,9,4738.602
1993,2,10,4336.068
1993,2,11,3926.472
1993,2,12,3813.48
1993,2,13,3450.8463
1993,2,14,3312.078
1993,2,15,3320.1993
1993,2,16,3127.0536
1993,2,17,2867.8782
1993,2,18,2646.8376
1993,2,19,2553.9723
1993,2,20,2440.2741
1993,2,21,2272.9047
1993,2,22,2140.8453
1993,2,23,2131.3116
1993,2,24,2046.5676
1993,2,25,1990.4247
1993,2,26,1885.9071
1993,2,27,1830.1173
1993,2,28,1799.3976
1993,3,1,1887.6726
1993,3,2,2397.1959
1993,3,3,4795.098
1993,3,4,5600.166
1993,3,5,5893.239
1993,3,6,6253.401
1993,3,7,6299.304
1993,3,8,6419.358
1993,3,9,6553.536
1993,3,10,6670.059
1993,3,11,6437.013
1993,3,12,5921.487
1993,3,13,5596.635
1993,3,14,4978.71
1993,3,15,4653.858
1993,3,16,4523.211
1993,3,17,4424.343
1993,3,18,4004.154
1993,3,19,3689.895
1993,3,20,3675.771
1993,3,21,3898.224
1993,3,22,4085.367
1993,3,23,4890.435
1993,3,24,4763.319
1993,3,25,4978.71
1993,3,26,5713.158
1993,3,27,7160.868
1993,3,28,10868.418
1993,3,29,15091.494
1993,3,30,16242.6
1993,3,31,15349.257
1993,4,1,15822.411
1993,4,2,15109.149
1993,4,3,14198.151
1993,4,4,14071.035
1993,4,5,12513.864
1993,4,6,11122.65
1993,4,7,10183.404
1993,4,8,9272.406
1993,4,9,8492.055
1993,4,10,7775.262
1993,4,11,7196.178
1993,4,12,6768.927
1993,4,13,6179.25
1993,4,14,5826.15
1993,4,15,5497.767
1993,4,16,5734.344
1993,4,17,5730.813
1993,4,18,5603.697
1993,4,19,6419.358
1993,4,20,15758.853
1993,4,21,16500.363
1993,4,22,18032.817
1993,4,23,17022.951
1993,4,24,16284.972
1993,4,25,16341.468
1993,4,26,15285.699
1993,4,27,13841.52
1993,4,28,12471.492
1993,4,29,11963.028
1993,4,30,12312.597
1993,5,1,11578.149
1993,5,2,10705.992
1993,5,3,10529.442
1993,5,4,9932.703
1993,5,5,12224.322
1993,5,6,12090.144
1993,5,7,11394.537
1993,5,8,10384.671
1993,5,9,9512.514
1993,5,10,8488.524
1993,5,11,7845.882
1993,5,12,6984.318
1993,5,13,6348.738
1993,5,14,5843.805
1993,5,15,5462.457
1993,5,16,4964.586
1993,5,17,4586.769
1993,5,18,4314.882
1993,5,19,4085.367
1993,5,20,3707.55
1993,5,21,3473.7978
1993,5,22,3385.1697
1993,5,23,3566.31
1993,5,24,3450.4932
1993,5,25,3253.8165
1993,5,26,3039.8379
1993,5,27,2997.4659
1993,5,28,2863.641
1993,5,29,2628.1233
1993,5,30,2479.8213
1993,5,31,3193.4364
1993,6,1,3015.8271
1993,6,2,3080.0913
1993,6,3,3403.884
1993,6,4,3228.3933
1993,6,5,3193.4364
1993,6,6,3034.1883
1993,6,7,2957.5656
1993,6,8,3367.1616
1993,6,9,3809.949
1993,6,10,4014.747
1993,6,11,4071.243
1993,6,12,4201.89
1993,6,13,4088.898
1993,6,14,4004.154
1993,6,15,4007.685
1993,6,16,4166.58
1993,6,17,4057.119
1993,6,18,4155.987
1993,6,19,5208.225
1993,6,20,8244.885
1993,6,21,10073.943
1993,6,22,9943.296
1993,6,23,9456.018
1993,6,24,8629.764
1993,6,25,9039.36
1993,6,26,8386.125
1993,6,27,7492.782
1993,6,28,6567.66
1993,6,29,5819.088
1993,6,30,5342.403
1993,7,1,4862.187
1993,7,2,4615.017
1993,7,3,4131.27
1993,7,4,3795.825
1993,7,5,3445.9029
1993,7,6,3559.248
1993,7,7,3365.043
1993,7,8,3176.1345
1993,7,9,3031.0104
1993,7,10,2817.738
1993,7,11,2591.0478
1993,7,12,2454.045
1993,7,13,2366.4762
1993,7,14,2281.7322
