year,month,day,discharge
1993,1,1,6758.334
1993,1,2,6338.145
1993,1,3,6154.533
1993,1,4,10840.17
1993,1,5,11362.758
1993,1,6,12037.179
1993,1,7,10967.286
1993,1,8,9759.684
1993,1,9,8537.958
1993,1,10,7648.146
1993,1,11,6765.396
1993,1,12,6045.072
1993,1,13,5487.174
1993,1,14,4996.365
1993,1,15,4593.831
1993,1,16,4258.386
1993,1,17,4131.27
1993,1,18,3862.914
1993,1,19,3930.003
1993,1,20,3569.841
1993,1,21,3313.4904
1993,1,22,3288.0672
1993,1,23,3562.779
1993,1,24,3767.577
1993,1,25,3859.383
1993,1,26,3919.41
1993,1,27,4258.386
1993,1,28,5338.872
1993,1,29,5232.942
1993,1,30,4886.904
1993,1,31,6546.474
1993,2,1,6850.14
1993,2,2,6189.843
1993,2,3,6253.401
1993,2,4,6136.878
1993,2,5,7277.391
1993,2,6,7040.814
1993,2,7,6359.331
1993,2,8,5529.546
1993,2,9,4943.4
1993,2,10,4526.742
1993,2,11,4095.96
1993,2,12,3968.844
1993,2,13,3742.86
1993,2,14,3521.4663
1993,2,15,3473.4447
1993,2,16,3242.1642
1993,2,17,2956.8594
1993,2,18,2717.4576
1993,2,19,2610.1152
1993,2,20,2485.4709
1993,2,21,2311.0395
1993,2,22,2172.9774
1993,2,23,2159.2065
1993,2,24,2073.0501
1993,2,25,2014.0824
1993,2,26,1907.4462
1993,2,27,1849.8909
1993,2,28,1817.7588
1993,3,1,1935.3411
1993,3,2,2535.9642
1993,3,3,4766.85
1993,3,4,5624.883
1993,3,5,5974.452
1993,3,6,6327.552
1993,3,7,6415.827
1993,3,8,6560.598
1993,3,9,6698.307
1993,3,10,6853.671
1993,3,11,6645.342
1993,3,12,6143.94
1993,3,13,5804.964
1993,3,14,5165.853
1993,3,15,4833.939
1993,3,16,4678.575
1993,3,17,4554.99
1993,3,18,4117.146
1993,3,19,3961.782
1993,3,20,3908.817
1993,3,21,3919.41
1993,3,22,4131.27
1993,3,23,4957.524
1993,3,24,4862.187
1993,3,25,5105.826
1993,3,26,5819.088
1993,3,27,7086.717
1993,3,28,10903.728
1993,3,29,13612.005
1993,3,30,15370.443
1993,3,31,14900.82
1993,4,1,15670.578
1993,4,2,15133.866
1993,4,3,14332.329
1993,4,4,14268.771
1993,4,5,12736.317
1993,4,6,12828.123
1993,4,7,11616.99
1993,4,8,10324.644
1993,4,9,9286.53
1993,4,10,8400.249
1993,4,11,7697.58
1993,4,12,7379.79
1993,4,13,6655.935
1993,4,14,6218.091
1993,4,15,5808.495
1993,4,16,5992.107
1993,4,17,5949.735
1993,4,18,5797.902
1993,4,19,6595.908
1993,4,20,14279.364
1993,4,21,15645.861
1993,4,22,17605.566
1993,4,23,16871.118
1993,4,24,16376.778
1993,4,25,16652.196
1993,4,26,15667.047
1993,4,27,14254.647
1993,4,28,12905.805
1993,4,29,12418.527
1993,4,30,12736.317
1993,5,1,12979.956
1993,5,2,12379.686
1993,5,3,11761.761
1993,5,4,10850.763
1993,5,5,12351.438
1993,5,6,12439.713
1993,5,7,12136.047
1993,5,8,10949.631
1993,5,9,9978.606
1993,5,10,8880.465
1993,5,11,8181.327
1993,5,12,7249.143
1993,5,13,6765.396
1993,5,14,6165.126
1993,5,15,5699.034
1993,5,16,5151.729
1993,5,17,4728.009
1993,5,18,4424.343
1993,5,19,4166.58
1993,5,20,3940.596
1993,5,21,3636.93
1993,5,22,3502.0458
1993,5,23,3654.585
1993,5,24,3534.531
1993,5,25,3312.4311
1993,5,26,3086.4471
1993,5,27,3040.191
1993,5,28,2900.7165
1993,5,29,2659.9023
1993,5,30,2499.5949
1993,5,31,3234.0429
1993,6,1,3051.1371
1993,6,2,3108.3393
1993,6,3,3424.3638
1993,6,4,3248.8731
1993,6,5,3223.0968
1993,6,6,3056.4336
1993,6,7,2982.2826
1993,6,8,3389.76
1993,6,9,3654.585
1993,6,10,3905.286
1993,6,11,4000.623
1993,6,12,4155.987
1993,6,13,4053.588
1993,6,14,3997.092
1993,6,15,3993.561
1993,6,16,4159.518
1993,6,17,4050.057
1993,6,18,4163.049
1993,6,19,5229.411
1993,6,20,8103.645
1993,6,21,9978.606
1993,6,22,9890.331
1993,6,23,9427.77
1993,6,24,8615.64
1993,6,25,9049.953
1993,6,26,8400.249
1993,6,27,7506.906
1993,6,28,6783.051
1993,6,29,5967.39
1993,6,30,5448.333
1993,7,1,4939.869
1993,7,2,4667.982
1993,7,3,4170.111
1993,7,4,3820.542
1993,7,5,3640.461
1993,7,6,3689.895
1993,7,7,3461.7924
1993,7,8,3244.2828
1993,7,9,3081.8568
1993,7,10,2847.7515
1993,7,11,2612.94
1993,7,12,2475.5841
1993,7,13,2378.4816
1993,7,14,2293.3845
