year,month,day,discharge
1993,1,1,6687.714
1993,1,2,6267.525
1993,1,3,6076.851
1993,1,4,10705.992
1993,1,5,12171.357
1993,1,6,11542.839
1993,1,7,10596.531
1993,1,8,9480.735
1993,1,9,8311.974
1993,1,10,7461.003
1993,1,11,6617.094
1993,1,12,5914.425
1993,1,13,5374.182
1993,1,14,4897.497
1993,1,15,4494.963
1993,1,16,4177.173
1993,1,17,4064.181
1993,1,18,3799.356
1993,1,19,3877.038
1993,1,20,3506.283
1993,1,21,3271.4715
1993,1,22,3242.5173
1993,1,23,3513.345
1993,1,24,3707.55
1993,1,25,3799.356
1993,1,26,3862.914
1993,1,27,4201.89
1993,1,28,5289.438
1993,1,29,5187.039
1993,1,30,4841.001
1993,1,31,6497.04
1993,2,1,6800.706
1993,2,2,6143.94
1993,2,3,6211.029
1993,2,4,6083.913
1993,2,5,7242.081
1993,2,6,7005.504
1993,2,7,6316.959
1993,2,8,5494.236
1993,2,9,4915.152
1993,2,10,4498.494
1993,2,11,4071.243
1993,2,12,3947.658
1993,2,13,3725.205
1993,2,14,3506.9892
1993,2,15,3460.7331
1993,2,16,3230.1588
1993,2,17,2945.5602
1993,2,18,2706.8646
1993,2,19,2600.5815
1993,2,20,2476.9965
1993,2,21,2303.2713
1993,2,22,2166.2685
1993,2,23,2153.2038
1993,2,24,2067.0474
1993,2,25,2008.4328
1993,2,26,1902.1497
1993,2,27,1844.9475
1993,2,28,1813.1685
1993,3,1,1915.2144
1993,3,2,2491.8267
1993,3,3,4731.54
1993,3,4,5593.104
1993,3,5,5942.673
1993,3,6,6306.366
1993,3,7,6387.579
1993,3,8,6528.819
1993,3,9,6666.528
1993,3,10,6793.644
1993,3,11,6574.722
1993,3,12,6073.32
1993,3,13,5737.875
1993,3,14,5095.233
1993,3,15,4773.912
1993,3,16,4629.141
1993,3,17,4519.68
1993,3,18,4088.898
1993,3,19,3937.065
1993,3,20,3884.1
1993,3,21,3894.693
1993,3,22,4110.084
1993,3,23,4939.869
1993,3,24,4844.532
1993,3,25,5081.109
1993,3,26,5794.371
1993,3,27,7065.531
1993,3,28,10857.825
1993,3,29,14745.456
1993,3,30,16101.36
1993,3,31,15363.381
1993,4,1,15949.527
1993,4,2,15296.292
1993,4,3,14420.604
1993,4,4,14314.674
1993,4,5,12753.972
1993,4,6,11804.133
1993,4,7,10723.647
1993,4,8,9703.188
1993,4,9,8841.624
1993,4,10,8089.521
1993,4,11,7461.003
