year,month,day,discharge
1993,1,1,6751.272
1993,1,2,6331.083
1993,1,3,6151.002
1993,1,4,10829.577
1993,1,5,11348.634
1993,1,6,12026.586
1993,1,7,10956.693
1993,1,8,9752.622
1993,1,9,8534.427
1993,1,10,7644.615
1993,1,11,6761.865
1993,1,12,6041.541
1993,1,13,5487.174
1993,1,14,4996.365
1993,1,15,4590.3
1993,1,16,4254.855
1993,1,17,4131.27
1993,1,18,3862.914
1993,1,19,3930.003
1993,1,20,3569.841
1993,1,21,3313.1373
1993,1,22,3287.361
1993,1,23,3562.779
1993,1,24,3764.046
1993,1,25,3855.852
1993,1,26,3919.41
1993,1,27,4254.855
1993,1,28,5338.872
1993,1,29,5232.942
1993,1,30,4883.373
1993,1,31,6546.474
1993,2,1,6850.14
1993,2,2,6189.843
1993,2,3,6253.401
1993,2,4,6136.878
1993,2,5,7277.391
1993,2,6,7040.814
1993,2,7,6359.331
1993,2,8,5529.546
1993,2,9,4943.4
1993,2,10,4526.742
1993,2,11,4095.96
1993,2,12,3965.313
1993,2,13,3742.86
1993,2,14,3521.1132
1993,2,15,3473.4447
1993,2,16,3241.8111
1993,2,17,2956.5063
1993,2,18,2717.1045
1993,2,19,2609.7621
1993,2,20,2485.4709
1993,2,21,2310.6864
1993,2,22,2172.9774
1993,2,23,2159.2065
1993,2,24,2072.697
1993,2,25,2013.7293
1993,2,26,1907.0931
1993,2,27,1849.8909
1993,2,28,1817.7588
1993,3,1,1933.2225
1993,3,2,2531.727
1993,3,3,4766.85
1993,3,4,5624.883
1993,3,5,5974.452
1993,3,6,6327.552
1993,3,7,6415.827
1993,3,8,6557.067
1993,3,9,6694.776
1993,3,10,6843.078
1993,3,11,6634.749
1993,3,12,6133.347
1993,3,13,5794.371
1993,3,14,5158.791
1993,3,15,4830.408
1993,3,16,4671.513
1993,3,17,4551.459
1993,3,18,4117.146
1993,3,19,3961.782
1993,3,20,3905.286
1993,3,21,3919.41
1993,3,22,4131.27
1993,3,23,4957.524
1993,3,24,4862.187
1993,3,25,5102.295
1993,3,26,5815.557
1993,3,27,7083.186
1993,3,28,10871.949
1993,3,29,13756.776
1993,3,30,15458.718
1993,3,31,14957.316
1993,4,1,15702.357
1993,4,2,15155.052
1993,4,3,14342.922
1993,4,4,14275.833
1993,4,5,12743.379
1993,4,6,12831.654
1993,4,7,11436.909
1993,4,8,10197.528
1993,4,9,9198.255
1993,4,10,8340.222
1993,4,11,7658.739
1993,4,12,7351.542
1993,4,13,6638.28
1993,4,14,6203.967
1993,4,15,5801.433
1993,4,16,5985.045
1993,4,17,5946.204
1993,4,18,5794.371
1993,4,19,6592.377
1993,4,20,14441.79
1993,4,21,15748.26
1993,4,22,17672.655
1993,4,23,16913.49
1993,4,24,16401.495
1993,4,25,16655.727
1993,4,26,15667.047
1993,4,27,14251.116
1993,4,28,12902.274
1993,4,29,12414.996
1993,4,30,12732.786
1993,5,1,12979.956
1993,5,2,12192.543
